Compound,CAS,Frequency_Factor
"2-(2,2-Dibromoethenyl)-1,1-dimethylcyclopropane",61775-29-9,0.0128192187342283
JWH-122,619294-47-2,0.0173027486652165
"3,3-Dimethyl-1-butanol",624-95-3,0.000101461038961039
1-Ethoxybutane,628-81-9,9.91178511249876e-05
Ethylene glycol dinitrate,628-96-6,0.00130338881090836
"1,1,1,2-Tetrabromoethane",630-16-0,0.000101235067827495
"1,2,3,4,5-Pentabromo-6-(2,3,4,5-tetrabromophenoxy)benzene",63387-28-0,0.643870059338228
"2-Naphthalenamine, N-ethyl-1-[2-[4-(2-phenyldiazenyl)phenyl]diazenyl]-",6368-72-5,0.00180904522613065
6:2 Fluorotelomer alcohol,647-42-7,0.0301719802876395
"Butanamide, 2-[2-(4-chloro-2-nitrophenyl)diazenyl]-N-(2-chlorophenyl)-3-oxo-",6486-23-3,0.0031398764306695
Benzoic acid,65-85-0,0.00020185708518369
Naftifine,65472-88-0,0.00586015097338101
CHEMBL253690,65487-76-5,0.000811688311688312
"2',3,4,4',5-Pentachlorobiphenyl",65510-44-3,0.000988630746416213
"2,2-bis(Trifluoromethyl)-2-hydroxyacetic acid",662-22-6,0.00223964165733483
"1-(4-Chlorophenyl)-4,4-dimethyl-pentan-3-one",66346-01-8,0.000302877334679455
Tralomethrin,66841-25-6,0.0144723618090452
"3,3,3-Trifluoro-1-propene",677-21-4,0.000201734920314706
Perfluorosuberic acid,678-45-5,0.000203624516391774
"Dibenzofuran, 1,2,3,4,6,8,9-heptachloro-",69698-58-4,0.00217735550277118
"2,2',3,5-Tetrachlorobiphenyl",70362-46-8,0.000296091590998816
"2,3',4',5'-Tetrachlorobiphenyl",70362-48-0,0.00039848575413429
1-Pentanol,71-41-0,0.00139165009940358
"1,1,1-Trichloroethane",71-55-6,0.015440144375376
[4-(Dimethylamino)phenyl]bis[4-(ethylamino)-3-methylphenyl]methylium acetate,72102-55-7,0.00172623883021933
Methyl bromide,74-83-9,9.99900009999e-05
"1,1'-Biphenyl, 2,3',4,4',5'-pentabromo-",74114-77-5,0.000997108385681524
CHEMBL491516,74849-07-3,9.98701687805852e-05
"2,2-Dimethylpropanol",75-84-3,0.00775037745344741
Monocyclohexyl phthalate,7517-36-4,9.86777185711466e-05
"Phenol, 4,4'-(1,1-dioxido-3H-2,1-benzoxathiol-3-ylidene)bis[5-methyl-2-(1-methylethyl)-",76-61-9,0.000202778059413971
"1,3,8-Trichlorodibenzofuran",76621-12-0,0.000804586141003721
Squalene,7683-64-9,1
Pentabromoacetone,79-49-2,0.000795624067628046
"Benzene, 2,2,2-tribromoethoxy-",79080-55-0,0.00139776357827476
Methyl benzenesulphonate,80-18-2,0.000198688654877806
Diafenthiuron,80060-09-9,0.000703659026940088
Perfluoro-4-isopropoxybutanoic acid,801212-59-9,0.00394018993736108
CHEMBL150098,80246-27-1,0.100331425128051
3-(Perfluorohexyl)propanol,80806-68-4,0.000803374171520386
3-Perfluoroheptylpropanoic acid,812-70-4,0.0118640659561633
"1,1'-Biphenyl, 2,2',4,4',5-pentabromo-",81397-99-1,0.000303490136570562
"1,2,3,4,6-Pentachlorodibenzofuran",83704-47-6,0.000403591968519827
"1,2,3,4,7-Pentachlorodibenzofuran",83704-48-7,0.00118694362017804
"1,1'-Ethane-1,2-diylbis(pentabromobenzene)",84852-53-9,0.694438907713773
Perfluoro(4-methoxybutanoic) acid,863090-89-5,0.000101461038961039
N-Vinyl-2-pyrrolidone,88-12-0,0.000403795679386231
"1,2-Benzenedicarbonyl dichloride",88-95-9,0.00150511739915713
N-Methylperfluoroheptanamide,89932-74-1,0.00120627261761158
"Naphthalene, 1-iodo-",90-14-2,0.000600901352028042
"6,6'-Di-tert-butyl-2,2'-thiodi-p-cresol",90-66-4,0.00807738332668528
"1H,1H,8H,8H-Perfluorooctane-1,8-diol",90177-96-1,9.89511181476351e-05
Ammonium glycyrrhizinate trihydrate,911217-00-0,0.00870253164556962
Didemethylfenflumizole,91401-22-8,0.000100240577385726
"1H,1H,1H,2H-Perfluoro-2-heptanol",914637-05-1,0.000495245641838352
Perfluoropinacol,918-21-8,0.000507305194805195
"2,3,6-Tribromo-5-(2,4,5-tribromophenoxy)phenol",918404-67-8,0.179580674567001
"1,1'-(1,2-Dichloroethene-1,2-diyl)bis(4-chlorobenzene)",93040-25-6,0.000298388701014522
"1,2,3-Benzotriazole",95-14-7,0.00231761386537686
Iophenoxic acid,96-84-4,0.000703800522823246
"1,5-Dibromo-3-(2,4-dibromophenoxy)-2-methoxybenzene",96920-28-4,0.00050251256281407
Acetophenone,98-86-2,0.00620310155077539
Niacinamide,98-92-0,0.00010067451927917
